   180/299      6.9G   0.02936   0.01609   0.01252   0.05797        47       640      0.74    0.8785    0.8745    0.6213   0.01319  0.004994  0.000834
   181/299      6.9G      0.03   0.01622   0.01338   0.05959        34       640    0.7451    0.8841    0.8771    0.6218   0.01314  0.004985 0.0008201
   182/299      6.9G    0.0302   0.01689   0.01323   0.06032        34       640     0.749    0.8818    0.8769    0.6242   0.01313  0.004978 0.0008074
   183/299      6.9G   0.02923   0.01619   0.01204   0.05747        37       640    0.7509    0.8814    0.8769    0.6246   0.01305  0.004973 0.0007909
   184/299      6.9G   0.02993   0.01614   0.01297   0.05905        47       640     0.749    0.8812    0.8759    0.6246   0.01299  0.004972 0.0007947
   185/299      6.9G   0.02956   0.01612   0.01246   0.05813        38       640    0.7527    0.8814    0.8786    0.6241   0.01294  0.004966 0.0007812
   186/299      6.9G   0.02942   0.01592   0.01273   0.05807        16       640    0.7599    0.8852    0.8786    0.6238   0.01291  0.004962 0.0007609
   187/299      6.9G   0.02973   0.01623   0.01208   0.05804        44       640    0.7532    0.8858    0.8795    0.6251   0.01288  0.004947 0.0007447
   188/299      6.9G   0.02969   0.01634   0.01201   0.05804        43       640    0.7482    0.8846    0.8793    0.6266   0.01284  0.004945 0.0007241
   189/299      6.9G   0.02916   0.01594   0.01226   0.05736        34       640    0.7456    0.8852    0.8772    0.6249   0.01282  0.004938 0.0007129
   190/299      6.9G   0.02943   0.01609   0.01195   0.05747        24       640    0.7427    0.8872     0.879    0.6267   0.01279  0.004931 0.0007058
   191/299      6.9G   0.02901   0.01597   0.01154   0.05653        29       640    0.7426    0.8846    0.8767    0.6247   0.01275  0.004924 0.0006938
   192/299      6.9G   0.02969   0.01604   0.01206   0.05779        43       640    0.7427    0.8891    0.8788    0.6265   0.01276  0.004918 0.0006842
   193/299      6.9G   0.02865   0.01594   0.01179   0.05637        30       640    0.7434    0.8886     0.879    0.6262   0.01273  0.004916 0.0006761
   194/299      6.9G   0.02904   0.01594    0.0115   0.05648        25       640    0.7473    0.8872     0.879    0.6279    0.0127   0.00491 0.0006646
   195/299      6.9G   0.02895   0.01583   0.01132    0.0561        21       640    0.7442    0.8902    0.8807    0.6297   0.01267  0.004902 0.0006565
   196/299      6.9G    0.0294   0.01605   0.01172   0.05718        22       640    0.7459    0.8867    0.8818    0.6306   0.01267  0.004885 0.0006472
   197/299      6.9G   0.02922   0.01568    0.0112    0.0561        36       640    0.7508     0.892    0.8821    0.6305   0.01265  0.004879 0.0006425
   198/299      6.9G    0.0291   0.01595   0.01175   0.05679        21       640    0.7479     0.893    0.8822    0.6316   0.01264   0.00487 0.0006366
   199/299      6.9G   0.02899   0.01609   0.01119   0.05627        18       640    0.7459    0.8925    0.8839    0.6327   0.01263  0.004862 0.0006253
   200/299      6.9G   0.02886   0.01581   0.01134   0.05601        39       640    0.7473    0.8933    0.8849    0.6335   0.01262  0.004848 0.0006151
   201/299      6.9G   0.02917   0.01567   0.01224   0.05708        29       640    0.7494    0.8971     0.886    0.6348   0.01259   0.00484 0.0006079
   202/299      6.9G   0.02952   0.01588   0.01129   0.05669        16       640    0.7439    0.8985    0.8862    0.6353   0.01258  0.004837 0.0005992
   203/299      6.9G    0.0285   0.01585   0.01244   0.05679        30       640    0.7491    0.8991    0.8869     0.637   0.01256   0.00483 0.0005926
